run_id,date,source_type,source_url,source_title,source_hash,source_year,region,pricing_priority,conversion_basis,topic_tags,scope,target_docs,status,notes
692ad518-9877-40c3-b3bc-2e9a8994aa2e,2026-07-27,youtube,unknown,vid1_transcript.txt,d04723c52a089c8b6df2bd5e349df75ba3cd00a3a4184c4ded45f4353adc90bf,unknown,unknown,secondary,unknown_year,unknown,unknown,unknown,archived,Backfilled from existing transcript; original URL/title unknown. Original filename: vid1_transcript.txt
5febd7d2-b397-4978-87e2-ea9f03b39331,2026-07-27,youtube,unknown,vid2_transcript.txt,d5a46a7d99ab8064aeb3062a892ec51b8b0260a383f595b8dd4d29e9c92d45cc,unknown,unknown,secondary,unknown_year,unknown,unknown,unknown,archived,Backfilled from existing transcript; original URL/title unknown. Original filename: vid2_transcript.txt
ef6e3fed-ad35-4fb5-88f2-d0c3a47c1bbf,2026-07-27,youtube,unknown,vid3_transcript.txt,26b1a4ebf182430fe9b44162f8f10e721d5b795b35581c8e2a294bf4c46f41d2,unknown,unknown,secondary,unknown_year,unknown,unknown,unknown,archived,Backfilled from existing transcript; original URL/title unknown. Original filename: vid3_transcript.txt
75993908-594b-40c4-b0f9-5482ca21f8ab,2026-07-27,youtube,unknown,vid4_transcript.txt,5558ad0bffdfd93fb3a9472684a594efe732cc5d77469862489f1c228e805740,unknown,unknown,secondary,unknown_year,unknown,unknown,unknown,archived,Backfilled from existing transcript; original URL/title unknown. Original filename: vid4_transcript.txt
run_20260727,2026-07-27,youtube_video,https://www.youtube.com/watch?v=Y3exSOS2Ob8,How much does apartment renovation cost in 2025,4b421350ebf36e4b91da38bd41e38c69946a0ed9b6cb651729a47be0365ffa92,2025,Russia,secondary,annual_avg_2025,"budgeting, savings",budget_analysis,"Master_Budgeting_Guide.md, Walls_and_Paint.md",archived,Extracted 2025 pricing context and timeline tip.
run_20260727_2,2026-07-27,youtube_video,https://www.youtube.com/watch?v=b4ErDSHBY_4,Designer renovation breakdown P44 2-room apartment,f23c504a43813fea5c40523091931c57f88592f543e70c66c9c80ac261c7000b,2024,Russia,secondary,annual_avg_2024,"renovation_tips, rules, dos_and_donts",cross_room,"12_Engineering_and_Systems, 13_Surfaces_and_Finishes, 07_Bathroom, 08_WC, 03_Kitchen",archived,"Extracted hidden conduit, Lumfer LED profiles, sub-screed soundproofing, plumbing cabinet filters, and fixture choices."
run_20260727_3,2026-07-27,youtube_video,https://www.youtube.com/watch?v=jOvCg-d45w4,Full turnkey renovation cost breakdown in Saint-Petersburg 2024,21ade3f689a2b480ff62dc12830c182dfdf7c0bc937cb86772b0c6de5a056941,2024,Saint-Petersburg Russia,secondary,annual_avg_2024,"renovation_mistakes, rules, cost_breakdown",cross_room,"12_Engineering_and_Systems, 13_Surfaces_and_Finishes",archived,"Extracted rules for monolithic breaker box restrictions, reverse check valves, plaster drying wait time, and self-leveling compound for flush floor transitions."
run_20260727_4,2026-07-27,youtube_video,https://www.youtube.com/watch?v=O6PNsmWaHYc,Investment renovation vs owner renovation cost comparison 2025,360f4c7cf5734740aa1cbacbd73dd3d33137eb904735a3e3d19064e8355d2fde,2025,Russia,secondary,annual_avg_2025,"investment_renovation, cost_comparison, dos_and_donts",cross_room,"12_Engineering_and_Systems, 13_Surfaces_and_Finishes, 11_Budget_and_Planning",archived,"Extracted rules for direct overseas lighting procurement, direct-paint ducted AC grilles, SPC vinyl with integrated underlayment, airless spray painting, and backless wardrobe interiors."
run_20260727_5,2026-07-27,youtube_video,https://www.youtube.com/watch?v=kBJZkSOp4-Q,Why is apartment renovation so expensive in 2026,a8e9088725fa45de7ebc223ad5d27139ee3a536ca6b8dd9d8ba7a8b30cd4b6b8,2026,Russia,secondary,annual_avg_2026,"renovation_mistakes, cost_analysis, dos_and_donts",cross_room,"12_Engineering_and_Systems, 13_Surfaces_and_Finishes, 11_Budget_and_Planning",archived,"Extracted rules for electrical panel breaker limits, plumbing cabinet complexity limits, wallpaper vs paint budget choice, surface baseboards vs flush baseboards, and 3m tile backsplash sequence."
run_20260727_6,2026-07-27,youtube_video,https://www.youtube.com/watch?v=ElHcpT5WlUA,Proper Renovation Sequence & Mistakes to Avoid,61e3a372f136a945f5b34fcb108172e9311358a1e8b66a09bcc9f3812d51d7da,2024,Russia,secondary,annual_avg_2024,"renovation_sequence, trade_coordination, dos_and_donts",cross_room,"12_Engineering_and_Systems, 13_Surfaces_and_Finishes, 11_Budget_and_Planning",archived,"Extracted rules for concealed door frame order, concealed baseboard track order, plastering masonry walls before electrical chasing, adhesive conduit clips for floor soundproofing, rough AC line routing, and defect walkthroughs."
