path,set,role,what,bytes,sha256
_Precedents/dubravinsky_same_type/designer_variants/631615996_18423775762184885_4793067867199760176_n.jpg,designer_variants,cover_3d_axonometric,"3D cutaway cover image, captioned 'Evrotrekhkomnatnaya kvartira v ZhK Dubravinskiy ~ 70 m.kv.' - the sheet that NAMES the development and the area and confirms the euro-3 result",199041,27651fd038481315a1e0c81b96e819aab4c360be8dd289b52d4cdc6a9ac313fb
_Precedents/dubravinsky_same_type/designer_variants/631647771_18423775792184885_2563412354648488122_n.jpg,designer_variants,designer_variant_D,"furnished layout plan, variant D - SMM moved OUT of the vannaya into a laundry closet off the prikhozhaya; wardrobes inside the left bedroom",269469,b9e8e01ba8cdae5dfaf498ceacaa1ac88471f7c62dd94dc9a695ff10f63d26ec
_Precedents/dubravinsky_same_type/designer_variants/631867090_18423775801184885_3373315614328994501_n.jpg,designer_variants,designer_variant_B,"furnished layout plan, variant B - vannaya re-proportioned with the bath horizontal, SMM in the vannaya, hob on a peninsula at the dining table",274440,119f728218c18cbb198b0fe11e2187306bbbd864419d120c4648f567281fc26a
_Precedents/dubravinsky_same_type/designer_variants/632035567_18423775774184885_1908648215442957075_n.jpg,designer_variants,structural_scheme_after,"UNFURNISHED structural scheme. NOT the developer handover state: it shows no kukhnya partition, whereas the developer schedules kukhnya as a separate 5.24 m2 room. It is the AFTER state of the merge, so it must NOT be used as a v0 topology cross-check",104887,b97c4c269041f5e71c215ec8b8f328d01a39a9fc706c95d3a4b18b3f02506575
_Precedents/dubravinsky_same_type/designer_variants/632197311_18423775783184885_6007429850512569887_n.jpg,designer_variants,designer_variant_C,"furnished layout plan, variant C - SMM in the vannaya, oval 6-seat table, wardrobe run along the prikhozhaya and the left room",275433,aa15c21cfb309b1583703066c1f29eebe5cb34cb9488cd3cefa676d1cce4b925
_Precedents/dubravinsky_same_type/designer_variants/IMG_20260610_091242_382.jpg,designer_variants,designer_variant_A,"furnished layout plan, variant A - bath vertical on the left wall, SMM in the vannaya, hob in the wall run",154148,70f68a61b086d206db31ea7182d9f8314ac435f37fea0f512b73ff9ea9503859
_Precedents/dubravinsky_same_type/minina_3_renderings/3eef1fee-1a34-11f1-b6d0-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",607517,152d138a10d319389ca49a4b7dcc13342bae9bdd14136338a049a20d0b2b3575
_Precedents/dubravinsky_same_type/minina_3_renderings/3f01b42e-1a34-11f1-9603-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",503628,450ec872712a5f215a5b094388234c911657c72af9451724f7b099c18e671f0e
_Precedents/dubravinsky_same_type/minina_3_renderings/3f01d44a-1a34-11f1-a3b8-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",316592,cfefdcdb49e3cea21b40665cb874ccd37325558c742351977a1b2160cc84b930
_Precedents/dubravinsky_same_type/minina_3_renderings/3f024bfa-1a34-11f1-a98a-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",151785,897cfde0a89f9e910aa38ee8311d75099cc68e045c301702ac6292330b0440d2
_Precedents/dubravinsky_same_type/minina_3_renderings/3f0d7cbe-1a34-11f1-bd91-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",652380,906bbf657c38619270a14867dcb8abd750235d2058bc27fc6a9c2f3d70b65eaa
_Precedents/dubravinsky_same_type/minina_3_renderings/3f130b0c-1a34-11f1-be9a-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",333876,8f1c065aafef3a242e165128fb992ce5e2dbe306ceb1bbcd11721985b37caf16
_Precedents/dubravinsky_same_type/minina_3_renderings/3f1be768-1a34-11f1-9d6d-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",450936,4e959defc658ef22116d188d0e2c7c2a0b705bb31dbdc16f5048abe134da534c
_Precedents/dubravinsky_same_type/minina_3_renderings/3f2eeeda-1a34-11f1-ba97-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",641536,6ea92b13369740bf9c7dd67ad29e23cef49cd7d66c887b4efa49515d364973c0
_Precedents/dubravinsky_same_type/minina_3_renderings/3f4353b6-1a34-11f1-b012-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",680077,111cda258b4b38153dfc4289636a61482a84d5f4434505b2a7682200dcb971e6
_Precedents/dubravinsky_same_type/minina_3_renderings/3f5e3ec4-1a34-11f1-9422-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",574638,3e7741e3f9fd21ad3b3972853803e35b6573c4b9497c3df462a686bfeeba05f9
_Precedents/dubravinsky_same_type/minina_3_renderings/3f5e42de-1a34-11f1-98b0-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",680786,71215075b43d93ef4384b7630f52c59c635ad317a4f9f7f434d58a556abea5dc
_Precedents/dubravinsky_same_type/minina_3_renderings/3f5f94f4-1a34-11f1-9e6f-0242ac120002.jpg,minina_3_renderings,rendering,"realt.by-watermarked interior rendering, same development",635946,f0e2c1bb0361a273667c9dd4fbf80a25a92b609c1cfdc215ec04d53dd6a545ab
