path,role,examined,what,bytes,sha256
_Precedents/market_listings/minina-3-realt/images/3eef1fee-1a34-11f1-b6d0-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,607517,152d138a10d319389ca49a4b7dcc13342bae9bdd14136338a049a20d0b2b3575
_Precedents/market_listings/minina-3-realt/images/3f01b42e-1a34-11f1-9603-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,503628,450ec872712a5f215a5b094388234c911657c72af9451724f7b099c18e671f0e
_Precedents/market_listings/minina-3-realt/images/3f01d44a-1a34-11f1-a3b8-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,316592,cfefdcdb49e3cea21b40665cb874ccd37325558c742351977a1b2160cc84b930
_Precedents/market_listings/minina-3-realt/images/3f024bfa-1a34-11f1-a98a-0242ac120002.jpg,rendering_photoreal,yes,"realt.by-watermarked WC rendering: wall-hung pan, hygienic shower, wall cabinet, niche, open shelving and NO washbasin",151785,897cfde0a89f9e910aa38ee8311d75099cc68e045c301702ac6292330b0440d2
_Precedents/market_listings/minina-3-realt/images/3f0d7cbe-1a34-11f1-bd91-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,652380,906bbf657c38619270a14867dcb8abd750235d2058bc27fc6a9c2f3d70b65eaa
_Precedents/market_listings/minina-3-realt/images/3f130b0c-1a34-11f1-be9a-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,333876,8f1c065aafef3a242e165128fb992ce5e2dbe306ceb1bbcd11721985b37caf16
_Precedents/market_listings/minina-3-realt/images/3f1be768-1a34-11f1-9d6d-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,450936,4e959defc658ef22116d188d0e2c7c2a0b705bb31dbdc16f5048abe134da534c
_Precedents/market_listings/minina-3-realt/images/3f2eeeda-1a34-11f1-ba97-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,641536,6ea92b13369740bf9c7dd67ad29e23cef49cd7d66c887b4efa49515d364973c0
_Precedents/market_listings/minina-3-realt/images/3f4353b6-1a34-11f1-b012-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,680077,111cda258b4b38153dfc4289636a61482a84d5f4434505b2a7682200dcb971e6
_Precedents/market_listings/minina-3-realt/images/3f5e3ec4-1a34-11f1-9422-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,574638,3e7741e3f9fd21ad3b3972853803e35b6573c4b9497c3df462a686bfeeba05f9
_Precedents/market_listings/minina-3-realt/images/3f5e42de-1a34-11f1-98b0-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,680786,71215075b43d93ef4384b7630f52c59c635ad317a4f9f7f434d58a556abea5dc
_Precedents/market_listings/minina-3-realt/images/3f5f94f4-1a34-11f1-9e6f-0242ac120002.jpg,unexamined,no,NOT YET EXAMINED - set role and what after looking at the file,635946,f0e2c1bb0361a273667c9dd4fbf80a25a92b609c1cfdc215ec04d53dd6a545ab
