path,apartment,what,bytes,sha256
_Survey/apartment_109_mirrored/9711.jpg,109,photo 9711,272780,b6e17d6c33da293977e04ca4628365ee3a611ef0512c5c2d73d4925e14fb6466
_Survey/apartment_109_mirrored/9902.jpg,109,photo 9902,224760,a5acdde875ec7f1d72a237ffe45211820fdb4ea8aef9d7329d938b548e204d92
_Survey/apartment_109_mirrored/9be4.jpg,109,photo 9be4,128428,e197709ea8e5a204c8afbb6ec5dd073b011a2f9eb62b0de94dfd6ae89b0e4718
_Survey/apartment_109_mirrored/9cf9.jpg,109,photo 9cf9,133741,9bd5873dbe2e3ff7bd124636bdbd5ff53ce184b25e5b0633a4f31014026e5d02
_Survey/apartment_109_mirrored/9f84.jpg,109,photo 9f84,192589,4ecf2dacacb939a6f17f538bb57051f1748d35adbe148205aed5c04622e36f8b
_Survey/apartment_109_mirrored/9fd1.jpg,109,photo 9fd1,179732,c2de2f101ac5a90342fea01cb438e56c46c0a62090350360f0bbacef716236ef
_Survey/apartment_109_mirrored/a82a.jpg,109,photo a82a,112248,06128b7fbf3d68b7d45e08d1f2d8823c64158a750585814c65666d99ed87653c
_Survey/apartment_109_mirrored/a89c.jpg,109,photo a89c,160086,6bce55734573ceb78d7f3a720be6e79431b7bb16c08b2b8614e93eb78b09e82c
_Survey/apartment_109_mirrored/a89d.jpg,109,photo a89d,131563,55a90b43e86abd027ed433c6395b6e84da7b6433d03ae9c6cb3515c616513959
_Survey/apartment_109_mirrored/add8.jpg,109,photo add8,159191,58212ee65d112c5dc3123e4ecee696e9c89c08af3f4f2b116197d22bf909804f
_Survey/apartment_109_mirrored/b0aa.jpg,109,photo b0aa,154236,e73754c936492cce55fd958860dfe2a1ca40be1a27b41258193c38dc0de02c0e
_Survey/apartment_109_mirrored/b83a.jpg,109,photo b83a,146208,46b7052d34b9ded9c673d0050a6fac05fe89ece93f57db49a7148b6cb419fa88
_Survey/apartment_109_mirrored/bc18.jpg,109,photo bc18,155981,cda103218f8c8f45200cc4483a065328098b6b56510beafa50efb9a09d475c5d
_Survey/apartment_109_mirrored/positioning_plan.png,109,positioning plan,275471,1c54fe832ee065caa04c2bc72266e7723898afd2ce8c4eab2c007354b27360e1
_Survey/apartment_2_same_handedness_as_ours/868c.jpg,2,photo 868c,177040,25e82306397d036d52f5b49749c2f088e7ab83c65d1163c94d49966409de8ba6
_Survey/apartment_2_same_handedness_as_ours/8be8.jpg,2,photo 8be8,123118,03c395caca116a00e0938a7719c6dc9f9fb67f9f3e563f047c16907e5ea43dd4
_Survey/apartment_2_same_handedness_as_ours/8d93.jpg,2,photo 8d93,139311,71f2ca3e5a0e411d5fea2aa22c3a0228629dc649e6d8da4954723632d53c8ffd
_Survey/apartment_2_same_handedness_as_ours/9946.jpg,2,photo 9946,184646,8ae6a1c5d19f031605d5656fedc6ace7ead9424532db422216980d20dce0f194
_Survey/apartment_2_same_handedness_as_ours/9e9b.jpg,2,photo 9e9b,202946,4b56544127769159dc77ba8087928023640fd5faa01a52e659b24700895f9c13
_Survey/apartment_2_same_handedness_as_ours/bce3.jpg,2,photo bce3,130004,8a3a4facd6bc8bcba9dacd4a28fd680820ccf6deab3ff7817a80d914a3370e29
_Survey/apartment_2_same_handedness_as_ours/positioning_plan.png,2,positioning plan,476263,39c74b1688597d6dab85017f5a15c969b1f695491f4735f1a5fbd5a4ea53d9ad
_Survey/apartment_53_mirrored/8441.jpg,53,photo 8441,221062,4c7666b7c447f85c345b89a86fa20b466ecae4c00b1fdb9ac79305bdc43862eb
_Survey/apartment_53_mirrored/875f.jpg,53,photo 875f,204831,ac875a4ad20039d98874862c1948d2548565659ec64ed9ff45765cb390a7fee3
_Survey/apartment_53_mirrored/930d.jpg,53,photo 930d,157716,7a8045d2378cd6a38142c618707653a1ed515491e1cc855de26e10329c803895
_Survey/apartment_53_mirrored/9db4.jpg,53,photo 9db4,290407,d7f0be39bb150cb442db632352998c8b9dccc1ca6c462dc0b867d5126cc7ed3c
_Survey/apartment_53_mirrored/ac6c.jpg,53,photo ac6c,308158,471a7ae3dda7234c33c7820b9e9d417f4c007fcf5c4fde729c217ed2ab6423bd
_Survey/apartment_53_mirrored/ade6.jpg,53,photo ade6,192888,7e97ad1771dae2064505ddbc6f41449968ec78e8e117696beb9a85e72bb8b2fb
_Survey/apartment_53_mirrored/b6f0.jpg,53,photo b6f0,289202,b41bfeb85ced97fac2a22f4741609aa7ea2d4c89391c3d7191ff4fba37783b2b
_Survey/apartment_53_mirrored/bdc7.jpg,53,photo bdc7,309409,5033a61becb4d7bb6e2f963caf0edf053b40b6ae0f20bc2a2e53299e6e36c602
_Survey/apartment_53_mirrored/positioning_plan.png,53,positioning plan,855523,dedd56fd1c6eb3dee3300a2109447f0c4ac074ab02bdd4f605540d95f4ab4fe2
