host_id,face_ref,length_mm,in_scope,reason,evidence
G2,cross_hi,2220.6,unknown,not yet classified,
G2,cross_lo,2220.6,unknown,not yet classified,
G2,end_from,249.9,unknown,not yet classified,
G2,end_to,249.9,unknown,not yet classified,
G3,cross_hi,3089.7,unknown,not yet classified,
G3,cross_lo,3089.7,unknown,not yet classified,
G3,end_from,249.9,unknown,not yet classified,
G3,end_to,249.9,unknown,not yet classified,
G4C,cross_hi,3120.0,unknown,not yet classified,
G4C,cross_lo,3120.0,unknown,not yet classified,
G4C,end_from,120.0,unknown,not yet classified,
G4C,end_to,120.0,unknown,not yet classified,
G4a,cross_hi,3545.0,unknown,not yet classified,
G4a,cross_lo,3545.0,unknown,not yet classified,
G4a,end_from,250.1,unknown,not yet classified,
G4a,end_to,250.1,unknown,not yet classified,
G4b,cross_hi,1795.1,unknown,not yet classified,
G4b,cross_lo,1795.1,unknown,not yet classified,
G4b,end_from,120.0,unknown,not yet classified,
G4b,end_to,120.0,unknown,not yet classified,
G4d,cross_hi,1915.1,unknown,not yet classified,
G4d,cross_lo,1915.1,unknown,not yet classified,
G4d,end_from,120.0,unknown,not yet classified,
G4d,end_to,120.0,unknown,not yet classified,
G5,cross_hi,4034.9,unknown,not yet classified,
G5,cross_lo,4034.9,unknown,not yet classified,
G5,end_from,250.1,unknown,not yet classified,
G5,end_to,250.1,unknown,not yet classified,
G6,cross_hi,1915.0,unknown,not yet classified,
G6,cross_lo,1915.0,unknown,not yet classified,
G6,end_from,75.0,unknown,not yet classified,
G6,end_to,75.0,unknown,not yet classified,
G7,cross_hi,3249.7,unknown,not yet classified,
G7,cross_lo,3249.7,unknown,not yet classified,
G7,end_from,75.0,unknown,not yet classified,
G7,end_to,75.0,unknown,not yet classified,
G8,cross_hi,3249.7,unknown,not yet classified,
G8,cross_lo,3249.7,unknown,not yet classified,
G8,end_from,75.0,unknown,not yet classified,
G8,end_to,75.0,unknown,not yet classified,
M2,cross_hi,2073.4,unknown,not yet classified,
M2,cross_lo,2073.4,envelope,"MIXED along its length - abuts the neighbour balcony over most of the run, projects into open air at the southern end",_Drawings/evidence/m2_mixed_exposure_from_4th_floor_plan.png; wall_blocks.csv insulation_from_mm/insulation_to_mm; 00_Master/V0_Envelope_And_Insulation.md ~590 mm corroboration
M2,end_from,200.0,unknown,not yet classified,
M2,end_to,200.0,unknown,not yet classified,
M2,glazing_cut,208.0,unknown,not yet classified,
M6b,cross_hi,1439.9,envelope,"loggia enclosure on the RENDERED facade plane, insulated (side=high)",v0_insulation_placed.json places the band on this face; owner stated 200 mm aerated block substrate
M6b,cross_lo,1439.9,unknown,not yet classified,
M6b,end_from,200.0,unknown,not yet classified,
M6b,end_to,200.0,unknown,not yet classified,
M6b,glazing_cut,207.9,unknown,not yet classified,
MA,cross_hi,2950.1,unknown,not yet classified,
MA,cross_lo,2950.1,envelope,"facade wall, insulated outward face (side=low)",v0_insulation_placed.json places the band on this face
MA,end_from,299.7,unknown,not yet classified,
MA,end_to,299.7,unknown,not yet classified,
MB,cross_hi,3000.0,unknown,not yet classified,
MB,cross_lo,3000.0,envelope,"facade wall, insulated outward face (side=low)",v0_insulation_placed.json places the band on this face
MB,end_from,300.0,unknown,not yet classified,
MB,end_to,300.0,unknown,not yet classified,
MC,cross_hi,3565.1,unknown,not yet classified,
MC,cross_lo,3565.1,envelope,"facade wall, insulated outward face (side=low)",v0_insulation_placed.json places the band on this face
MC,end_from,300.0,unknown,not yet classified,
MC,end_to,300.0,envelope,"east END is a PARTY face against 3A/2, not an exposed one - the end cap is suppressed here by owner directive",00_Master/V0_Envelope_And_Insulation.md; wall_blocks.csv MC notes; _Inbox/_Visual_Drop/4th_floor_plan.png
R1a,cross_hi,1665.1,unknown,not yet classified,
R1a,cross_lo,1665.1,unknown,not yet classified,
R1a,end_from,249.9,unknown,not yet classified,
R1a,end_to,249.9,unknown,not yet classified,
R1b,cross_hi,1345.0,unknown,not yet classified,
R1b,cross_lo,1345.0,unknown,not yet classified,
R1b,end_from,250.1,unknown,not yet classified,
R1b,end_to,250.1,unknown,not yet classified,
R2,cross_hi,1924.9,unknown,not yet classified,
R2,cross_lo,1924.9,unknown,not yet classified,
R2,end_from,250.1,unknown,not yet classified,
R2,end_to,250.1,unknown,not yet classified,
R3,cross_hi,2739.7,unknown,not yet classified,
R3,cross_lo,2739.7,unknown,not yet classified,
R3,end_from,249.9,unknown,not yet classified,
R3,end_to,249.9,unknown,not yet classified,
R4,cross_hi,1050.0,unknown,not yet classified,
R4,cross_lo,1050.0,unknown,not yet classified,
R4,end_from,249.9,unknown,not yet classified,
R4,end_to,249.9,unknown,not yet classified,
R5,cross_hi,1050.0,unknown,not yet classified,
R5,cross_lo,1050.0,unknown,not yet classified,
R5,end_from,249.9,unknown,not yet classified,
