room,wall_segment,thickness_mm,i_drew_sockets_220,i_drew_power_380,i_drew_switches,YOUR_sockets_220,YOUR_power_380,YOUR_switches,notes
кухня-гостиная 24.73,G3,250,2,1,0,,,,
кухня-гостиная 24.73,R3,250,0,0,0,,,,
кухня-гостиная 24.73,R2,250,1,0,0,,,,
кухня-гостиная 24.73,G5,250,1,0,0,,,,
кухня-гостиная 24.73,R7,250,0,0,0,,,,
кухня-гостиная 24.73,MC,300,0,0,0,,,,
кухня-гостиная 24.73,R9,250,0,0,0,,,,
кухня-гостиная 24.73,G7,75,2,0,0,,,,
кухня-гостиная 24.73,R5,250,0,0,2,,,,
кухня-гостиная 24.73,V2,-,0,0,0,,,,
кухня-гостиная 24.73,P2,-,0,0,0,,,,
кухня-гостиная 24.73,ПОТОЛОК (выводы света),-,-,-,2,-,-,,число потолочных выводов
средняя комната 16.63,G6,75,0,0,1,,,,
средняя комната 16.63,R4,250,0,0,0,,,,
средняя комната 16.63,G8,75,2,0,0,,,,
средняя комната 16.63,R8,250,0,0,0,,,,
средняя комната 16.63,MB,300,1,0,0,,,,
средняя комната 16.63,R5,250,0,0,0,,,,
средняя комната 16.63,G7,75,0,0,0,,,,
средняя комната 16.63,R9,250,0,0,0,,,,
средняя комната 16.63,ПОТОЛОК (выводы света),-,-,-,1,-,-,,число потолочных выводов
комната 9.36,G4d,120,0,0,0,,,,
комната 9.36,G8,75,0,0,1,,,,
комната 9.36,MA,300,1,0,0,,,,
комната 9.36,G4a,250,1,0,0,,,,
комната 9.36,R6,250,1,0,0,,,,
комната 9.36,ПОТОЛОК (выводы света),-,-,-,1,-,-,,число потолочных выводов
прихожая 9.79,R1a,250,0,0,0,,,,
прихожая 9.79,G2,250,0,0,2,,,,
прихожая 9.79,R3,250,0,0,0,,,,
прихожая 9.79,G4C,120,0,0,2,,,,
прихожая 9.79,G6,75,0,0,0,,,,
прихожая 9.79,G4d,120,0,0,0,,,,
прихожая 9.79,V2,-,0,0,0,,,,
прихожая 9.79,P2,-,0,0,0,,,,
прихожая 9.79,ПОТОЛОК (выводы света),-,-,-,1,-,-,,число потолочных выводов
туалет 1.42,R1a,250,0,0,0,,,,
туалет 1.42,R1b,250,0,0,0,,,,
туалет 1.42,G4b,120,0,0,0,,,,
туалет 1.42,G4C,120,0,0,0,,,,
туалет 1.42,ПОТОЛОК (выводы света),-,-,-,1,-,-,,число потолочных выводов
ванная 3.09,G4b,120,0,0,0,,,,
ванная 3.09,G4C,120,0,0,0,,,,
ванная 3.09,G4d,120,0,0,0,,,,
ванная 3.09,G4a,250,0,0,0,,,,
ванная 3.09,ПОТОЛОК (выводы света),-,-,-,1,-,-,,число потолочных выводов
лоджия 6.05,MA,300,0,0,0,,,,
лоджия 6.05,M2,200,0,0,0,,,,
лоджия 6.05,M6b,200,0,0,0,,,,
лоджия 6.05,ПОТОЛОК (выводы света),-,-,-,0,-,-,,число потолочных выводов
