item_id,kind,wall,gang,height_cm,source_photos,photo_shows,position_basis,owner_verdict,owner_correction
S1,socket,G3,2,100,930d + a89d,"ряд из 3 розеток над столешницей, H=100","photo of another flat, horizontal position indicative",,
S2,socket,G3,2,100,930d + a89d,"то же, средняя в ряду","photo of another flat, horizontal position indicative",,
S17,socket,G7,1,30,владелец,"ВЛАДЕЛЕЦ: на G7 две розетки, выключателей нет","photo of another flat, horizontal position indicative",,
S18,socket,G7,1,30,владелец,"то же, вторая","photo of another flat, horizontal position indicative",,
S4,socket,R2,1,30,a89d + add8,низкая розетка на длинной стене (СЧЁТ уточняется),"photo of another flat, horizontal position indicative",,
S5,socket,G5,1,30,a89d + add8,"то же, вторая (СЧЁТ уточняется)","photo of another flat, horizontal position indicative",,
S6,socket,G8,1,30,b6f0,2 низкие розетки; СТЕНА не подтверждена,"photo of another flat, horizontal position indicative",,
S7,socket,G8,1,30,b6f0,то же,"photo of another flat, horizontal position indicative",,
S12,socket,MB,1,30,НЕТ ФОТО,—,NONE - chosen by me,,
S8,socket,G4a,1,30,9db4 + bc18,розетки на боковых стенах; СТЕНА не подтверждена,"photo of another flat, horizontal position indicative",,
S9,socket,R6,1,30,9db4,"то же, вторая стена","photo of another flat, horizontal position indicative",,
S13,socket,MA,1,30,НЕТ ФОТО,—,NONE - chosen by me,,
S3,POWER socket (380 V?),G3,-,100,930d + a89d + владелец,"третья в ряду, у электроплиты — владелец: НЕ 220 В, вероятно 380 В","photo of another flat; VOLTAGE from the owner, to confirm",,
W1,switch,G4C,1,90,a82a,"коробки у дверей мокрых зон, со стороны прихожей","photo of another flat, horizontal position indicative",,
W2,switch,G4C,1,90,a82a,то же,"photo of another flat, horizontal position indicative",,
W3,switch,G2,2,90,a89c + a82a,"ПАРА коробок на простенке, H≈880","photo of another flat, horizontal position indicative",,
W4,switch,G6,1,90,НЕТ ФОТО,—,NONE - chosen by me,,
W5,switch,G8,1,90,НЕТ ФОТО,— (на G8: у G4d нет места у проёма),NONE - chosen by me,,
W6,switch,R5,2,90,вывод — у проёма O10,— (выведено логикой: O10 — единственный вход),"photo of another flat, horizontal position indicative",,
L1,ceiling light point,-,-,ceiling,add8 + 930d,ДВА вывода в комнате 25 м²,"photo of another flat, position within the room indicative",,
L2,ceiling light point,-,-,ceiling,add8,"то же, второй кабель","photo of another flat, position within the room indicative",,
L3,ceiling light point,-,-,ceiling,a82a + a89c + 9e9b,"подвес в коридоре, все 3 квартиры","photo of another flat, position within the room indicative",,
L4,ceiling light point,-,-,ceiling,b6f0,кабель у окна,"photo of another flat, position within the room indicative",,
L5,ceiling light point,-,-,ceiling,bc18,кабель на потолке,"photo of another flat, position within the room indicative",,
L6,ceiling light point,-,-,ceiling,НЕТ ФОТО,—,NONE - chosen by me,,
L7,ceiling light point,-,-,ceiling,НЕТ ФОТО,—,NONE - chosen by me,,
F1,"fire detector, ceiling",-,-,ceiling,a89d + add8,"белый цилиндр на потолке, отличается от патрона",photo of another flat; position within the room indicative,,
P-S,plumbing outlet,G3,-,6,930d,канализация DN50 — ближе всего к шахте,"ORDER from 930d (sewer nearest the shaft, owner); spacings from service_outlets.csv, indicative",,
P-H,plumbing outlet,G3,-,61,930d,"горячая, из пола","ORDER from 930d (sewer nearest the shaft, owner); spacings from service_outlets.csv, indicative",,
P-C,plumbing outlet,G3,-,61,930d,"холодная, из пола","ORDER from 930d (sewer nearest the shaft, owner); spacings from service_outlets.csv, indicative",,
SW-K-V-H,"shut-off valve, kitchen-side node",at V2/P2,-,,владелец,ГВС — второй запорный вентиль,"OWNER stated the node exists behind V2; WHICH SIDE of the shaft is my reading, to confirm",,
SW-K-V-C,"shut-off valve, kitchen-side node",at V2/P2,-,,владелец,ХВС — второй запорный вентиль,"OWNER stated the node exists behind V2; WHICH SIDE of the shaft is my reading, to confirm",,
SS-B,"service riser / valve, P1",P1,-,floor-ceiling,ade6,стояк канализации DN110,inside P1 per service_outlets.csv; arrangement WITHIN the block indicative,,
SW-B-H,"service riser / valve, P1",P1,-,floor-ceiling,ade6,"ГВС: стояк, счётчик H=138, вентиль H=163",inside P1 per service_outlets.csv; arrangement WITHIN the block indicative,,
SW-B-C,"service riser / valve, P1",P1,-,floor-ceiling,ade6,"ХВС: стояк, счётчик H=138, вентиль H=163",inside P1 per service_outlets.csv; arrangement WITHIN the block indicative,,
SH-B,"service riser / valve, P1",P1,-,floor-ceiling,ade6,стояк в изоляции — НАЗНАЧЕНИЕ НЕ ПОДТВЕРЖДЕНО,inside P1 per service_outlets.csv; arrangement WITHIN the block indicative,,
