photo_id,apartment,mirrored,room,view_direction,far_wall_OUR_id,left_wall_OUR_id,right_wall_OUR_id,my_confidence,owner_correction
a89d,109,yes,кухня-гостиная,"NE, toward the corridor door",G3 / R3,R2+G5+R7 (east party run),G7,uncertain,
add8,109,yes,кухня-гостиная,"SE, toward the window",MC,G7,R2+G5+R7 (east party run),uncertain,
9902,109,yes,кухня-гостиная,"S, square-on at the window",MC,-,-,high,
bdc7,53,yes,кухня-гостиная,"SW, toward the window wall",MC,R2+G5+R7,G7,uncertain,
8be8,2,no,кухня-гостиная,"NE, across the room",G3 / R3,G7,R2+G5+R7,uncertain,
bce3,2,no,кухня-гостиная,"NW, toward the corridor",G3 / R3 + the divider,R2+G5+R7,G7,uncertain,
930d,53,yes,"кухня, at the north wall","N, close to frontal",G3,R2+G5+R7,the divider (V2/P2),high,
9e9b,2,no,"кухня, at the divider",NW through the O10 passway,G4C + the прихожая beyond,the divider (V2/P2),G3,high,
b0aa,109,yes,средняя комната,"SW, down the room",MB,G8,G7,uncertain,
9f84,109,yes,средняя комната,"S, at the window",MB,G8,G7,uncertain,
b6f0,53,yes,средняя комната,"SW, down the room",MB,G8,G7,uncertain,
9be4,109,yes,средняя комната,SE,MB / G7,G6,MB,uncertain,
bc18,109,yes,комната 9.36,"SE, toward the лоджия door",MA,G8,G4a / R6,uncertain,
9db4,53,yes,комната 9.36,"SE, toward the лоджия door",MA,G8,G4a / R6,uncertain,
9cf9,109,yes,комната 9.36,"NE, into the room",G4d,G4a / R6,G8,uncertain,
a82a,109,yes,прихожая,"E, along the corridor",G4C (3 doorways),G2 / R3,G6 / G4d,high,
a89c,109,yes,прихожая,"SW, back down the corridor",the divider / G6,G4C,G2,uncertain,
868c,2,no,прихожая,"W, toward the wet rooms",G4C,R1a / G2,G4d,uncertain,
8d93,2,no,прихожая,W,G4C,R1a / G2,G4d,uncertain,
9946,2,no,"прихожая, at the divider",NW,G2 / R3,the divider,G6,uncertain,
8441,53,yes,прихожая,E along the corridor,G4C,G2 / R3,G6 / G4d,uncertain,
b83a,109,yes,туалет,E into the туалет,R1b,R1a,G4b,uncertain,
ade6,53,yes,туалет,E into the туалет,R1b (P1 risers),R1a,G4b,high,
9fd1,109,yes,ванная,NE,G4b,G4a,G4C,uncertain,
875f,53,yes,ванная,NE,G4b,G4a,G4C,uncertain,
9711,109,yes,лоджия,SE into the лоджия,O9 glazing,M2,M6b,uncertain,
ac6c,53,yes,лоджия,SE into the лоджия,O9 glazing,M2,M6b,uncertain,
