wall_id,thickness_mm,ax_basic_px,ay_basic_px,bx_basic_px,by_basic_px
R1a,250,50,57,195,57
R1b,250,37,70,37,193
R2,250,1023,66,1023,237
R3,250,421,57,695,57
R4,250,350,305,350,414
R5,250,662,306,662,414
R6,250,38,557,38,736
R7,250,1023,650,1023,822
R8,250,333,741,333,920
R9,250,660,744,660,923
G2,250,196,57,421,57
G3,250,697,56,1011,56
G4a,250,38,192,38,557
G4b,120,50,199,245,199
G4C,120,243,70,243,401
G4d,120,30,397,335,397
G5,250,1022,238,1022,649
G6,75,350,311,662,311
G7,75,652,410,652,743
G8,75,340,411,340,743
MA,300,21,757,319,757
M2,200,32,778,32,982
MB,300,345,908,650,908
MC,300,674,840,1039,840
M6b,200,340,925,340,1068
